epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
71,4527.53,0.56751,0.8603,0.9947,0.40632,0.00214046,0.00214046,0.00214046
72,4588.38,0.56112,0.8608,0.9947,0.40298,0.00201611,0.00201611,0.00201611
73,4649.26,0.5493,0.8621,0.9947,0.40025,0.00189475,0.00189475,0.00189475
74,4710.17,0.54547,0.8627,0.9949,0.39935,0.00177651,0.00177651,0.00177651
75,4771.06,0.53117,0.8629,0.995,0.39767,0.00166149,0.00166149,0.00166149
76,4832.13,0.5245,0.8639,0.995,0.39591,0.00154982,0.00154982,0.00154982
77,4892.92,0.51676,0.8653,0.9951,0.39309,0.00144161,0.00144161,0.00144161
78,4953.53,0.50128,0.8655,0.9952,0.39009,0.00133695,0.00133695,0.00133695
79,5014.74,0.5003,0.8665,0.9955,0.38914,0.00123596,0.00123596,0.00123596
80,5075.64,0.49233,0.8675,0.9955,0.38963,0.00113873,0.00113873,0.00113873
81,5136.38,0.48974,0.8673,0.9958,0.38701,0.00104537,0.00104537,0.00104537
82,5312.26,0.48139,0.8679,0.9958,0.38342,0.000955951,0.000955951,0.000955951
83,5376.7,0.47316,0.8687,0.9957,0.38174,0.000870577,0.000870577,0.000870577
84,5441.25,0.47254,0.8703,0.9958,0.37916,0.000789327,0.000789327,0.000789327
85,5515.42,0.4695,0.8699,0.9957,0.37714,0.000712282,0.000712282,0.000712282
86,5577.22,0.45958,0.8709,0.9956,0.37445,0.000639518,0.000639518,0.000639518
87,5639.55,0.45521,0.8713,0.996,0.3726,0.000571106,0.000571106,0.000571106
88,5701.79,0.44566,0.8713,0.996,0.37125,0.000507115,0.000507115,0.000507115
89,5764.32,0.43749,0.8719,0.9959,0.36977,0.000447606,0.000447606,0.000447606
90,5827.5,0.43437,0.8729,0.9959,0.36949,0.00039264,0.00039264,0.00039264
91,5915.7,0.43267,0.874,0.9959,0.36659,0.00034227,0.00034227,0.00034227
92,5978.66,0.4331,0.8743,0.9961,0.36954,0.000296546,0.000296546,0.000296546
93,6041.4,0.42408,0.8749,0.9962,0.36431,0.000255513,0.000255513,0.000255513
94,6103.94,0.42455,0.8755,0.9963,0.36426,0.000219212,0.000219212,0.000219212
95,6166.18,0.41853,0.8756,0.9964,0.36278,0.000187678,0.000187678,0.000187678
96,6228.85,0.41789,0.8762,0.9965,0.3633,0.000160943,0.000160943,0.000160943
97,6291.45,0.41513,0.8767,0.9965,0.36144,0.000139032,0.000139032,0.000139032
98,6354.08,0.41207,0.8765,0.9966,0.36081,0.000121968,0.000121968,0.000121968
99,6416.49,0.40948,0.8769,0.9966,0.36141,0.000109768,0.000109768,0.000109768
100,6480.08,0.4094,0.877,0.9966,0.36103,0.000102443,0.000102443,0.000102443
